epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.0322,1.37302,4.49194,1.56604,0.4754,0.58773,0.61485,0.44689,0.97265,1.91684,1.23964,8.43411e-05,8.43411e-05,8.43411e-05
2,111.323,1.17733,2.35166,1.35394,0.77972,0.70764,0.83061,0.60882,1.04187,1.32806,1.3778,0.000166315,0.000166315,0.000166315
3,166.136,1.13507,1.84755,1.34961,0.76366,0.75453,0.87113,0.63328,1.03813,1.24434,1.42856,0.000244909,0.000244909,0.000244909
4,226.626,1.12552,1.52763,1.35649,0.84578,0.74929,0.91682,0.68813,0.9605,1.02775,1.38849,0.000240794,0.000240794,0.000240794
5,283.867,1.0749,1.36911,1.33474,0.81752,0.89316,0.93601,0.71267,0.94454,0.75858,1.37776,0.000235725,0.000235725,0.000235725
6,361.693,1.04125,1.17605,1.31972,0.86291,0.93203,0.96161,0.73615,0.90827,0.67614,1.33263,0.000230656,0.000230656,0.000230656
7,423.421,1.02036,1.04628,1.29296,0.84194,0.95148,0.96919,0.73703,0.89199,0.66375,1.33793,0.000225587,0.000225587,0.000225587
8,491.172,1.01194,0.98576,1.29708,0.92697,0.9636,0.98564,0.75555,0.88136,0.54936,1.31811,0.000220518,0.000220518,0.000220518
9,583.693,0.96543,0.88309,1.2462,0.91493,0.94424,0.98138,0.75812,0.88612,0.5275,1.3182,0.00021545,0.00021545,0.00021545
10,680.049,0.97505,0.87162,1.27327,0.94671,0.96382,0.98608,0.77067,0.84732,0.49894,1.30015,0.000210381,0.000210381,0.000210381
11,746.467,0.94689,0.80116,1.24641,0.92234,0.96103,0.98418,0.75657,0.88574,0.50239,1.36492,0.000205312,0.000205312,0.000205312
12,807.984,0.94959,0.80602,1.25883,0.92057,0.94973,0.98173,0.74982,0.88591,0.5312,1.35146,0.000200243,0.000200243,0.000200243
13,874.112,0.94222,0.76167,1.24248,0.94157,0.97141,0.98409,0.76772,0.84591,0.45982,1.29754,0.000195174,0.000195174,0.000195174
14,934.903,0.92735,0.7306,1.23977,0.95204,0.98391,0.9885,0.77565,0.83115,0.42158,1.29271,0.000190106,0.000190106,0.000190106
